Cody White,1,1,1,2,0
Laquon Treadwell,3,1,1,1,0
John Brown,2,1,0,0,0
Chester Rogers,3,0,0,0,0
Rashard Higgins,3,0,0,0,0
James Washington,1,1,0,0,0
Andre Roberts,1,0,0,0,0
Tyler Johnson,2,0,0,0,0
Josh Gordon,2,1,0,0,0
Willie Snead IV,3,0,0,0,0
Lynn Bowden Jr.,1,0,0,0,0
Malik Turner,3,0,0,0,0
Alex Erickson,2,0,0,0,0
Javon Wims,1,0,0,0,0
Freddie Swain,1,0,0,0,0
Cornell Powell,3,0,0,0,0
Stanley Morgan,11,1,0,0,0
Trinity Benson,1,0,0,0,0
Dareke Young,10,0,0,0,0
Binjimen Victor,2,0,0,0,0
Matthew Slater,13,0,0,0,0
Cade Johnson,1,0,0,0,0
Pharoh Cooper,2,0,0,0,0
Stanley Berryhill,4,0,0,0,0
Kaylon Geiger,3,0,0,0,0
Kwamie Lassiter II,1,0,0,0,0
Raleigh Webb,9,0,0,0,0
Ethan Fernea,1,0,0,0,0
Marcus Kemp,3,0,0,0,0
Tay Martin,1,0,0,0,0
Lance McCutcheon,6,3,0,0,0
Dez Fitzpatrick,1,0,0,0,0
Tanner Gentry,3,1,0,0,0
Brandon Zylstra,2,0,0,0,0
Deven Thompkins,1,0,0,0,0
Britain Covey,13,0,0,0,0
DJ Turner,9,1,0,0,0
Racey McMath,1,4,0,0,0
Dan Chisena,2,0,0,0,0
Kirk Merritt,1,0,0,0,0
Jared Bernhardt,2,0,0,0,0
Frank Darby,2,0,0,0,0
Kyric McGowan,2,0,0,0,0
